Rank,Name,Count,Country
1,OLIVER,5390,England and Wales
2,GEORGE,4960,England and Wales
3,HARRY,4512,England and Wales
4,NOAH,4107,England and Wales
5,JACK,3988,England and Wales
6,LEO,3721,England and Wales
7,ARTHUR,3644,England and Wales
8,MUHAMMAD,3507,England and Wales
9,OSCAR,3459,England and Wales
10,CHARLIE,3365,England and Wales
11,JACOB,3350,England and Wales
12,THOMAS,3243,England and Wales
13,HENRY,3172,England and Wales
14,WILLIAM,3015,England and Wales
15,ALFIE,2977,England and Wales
16,ARCHIE,2950,England and Wales
17,JOSHUA,2922,England and Wales
18,FREDDIE,2838,England and Wales
19,THEO,2741,England and Wales
20,ISAAC,2578,England and Wales
21,JAMES,2536,England and Wales
22,ALEXANDER,2517,England and Wales
23,LOGAN,2320,England and Wales
24,EDWARD,2197,England and Wales
25,ETHAN,2106,England and Wales
26,LUCAS,2098,England and Wales
27,JOSEPH,1989,England and Wales
28,SEBASTIAN,1964,England and Wales
29,THEODORE,1932,England and Wales
30,FINLEY,1926,England and Wales
31,MAX,1867,England and Wales
32,MOHAMMED,1846,England and Wales
33,SAMUEL,1788,England and Wales
34,HARRISON,1765,England and Wales
35,BENJAMIN,1743,England and Wales
36,ARLO,1715,England and Wales
37,DANIEL,1676,England and Wales
38,ADAM,1672,England and Wales
39,TEDDY,1663,England and Wales
40,MASON,1540,England and Wales
41,ELIJAH,1519,England and Wales
42,REUBEN,1504,England and Wales
43,DYLAN,1465,England and Wales
44,HUNTER,1410,England and Wales
45,REGGIE,1356,England and Wales
46,JAXON,1346,England and Wales
47,RORY,1323,England and Wales
48,LOUIE,1319,England and Wales
49,DAVID,1307,England and Wales
50,TOMMY,1299,England and Wales
51,LUCA,1291,England and Wales
52,ALBIE,1284,England and Wales
53,HUGO,1279,England and Wales
54,ZACHARY,1265,England and Wales
55,ALBERT,1264,England and Wales
56,JUDE,1182,England and Wales
57,TOBY,1178,England and Wales
58,RILEY,1168,England and Wales
59,EZRA,1118,England and Wales
60,CARTER,1030,England and Wales
61,GABRIEL,1022,England and Wales
62,ROMAN,1018,England and Wales
63,FRANKIE,1013,England and Wales
64,HARLEY,1011,England and Wales
65,FREDERICK,1010,England and Wales
66,RONNIE,989,England and Wales
67,JAKE,988,England and Wales
68,ELLIOT,945,England and Wales
69,LOUIS,941,England and Wales
70,JENSON,912,England and Wales
71,MOHAMMAD,880,England and Wales
72,STANLEY,877,England and Wales
73,BOBBY,872,England and Wales
74,MICHAEL,869,England and Wales
75,JESSE,861,England and Wales
76,FINN,817,England and Wales
77,JAYDEN,792,England and Wales
78,HARVEY,779,England and Wales
79,CALEB,776,England and Wales
80,JACKSON,764,England and Wales
81,CHARLES,758,England and Wales
82,MATTHEW,757,England and Wales
83,GRAYSON,742,England and Wales
84,BLAKE,733,England and Wales
85,LIAM,731,England and Wales
86,ELLIOTT,728,England and Wales
87,ELLIS,726,England and Wales
88,RALPH,719,England and Wales
89,JASPER,708,England and Wales
89,ROWAN,708,England and Wales
