Rank,Name,Count,Country
1,OLIVIA,4598,England and Wales
2,AMELIA,3941,England and Wales
3,AVA,3110,England and Wales
4,ISLA,3046,England and Wales
5,EMILY,2676,England and Wales
6,MIA,2490,England and Wales
7,ISABELLA,2369,England and Wales
8,SOPHIA,2344,England and Wales
9,ELLA,2326,England and Wales
10,GRACE,2301,England and Wales
11,POPPY,2226,England and Wales
12,CHARLOTTE,2202,England and Wales
13,LILY,2184,England and Wales
14,IVY,2104,England and Wales
15,FLORENCE,2062,England and Wales
16,EVIE,2052,England and Wales
17,SOPHIE,2007,England and Wales
18,FREYA,1921,England and Wales
19,EVELYN,1902,England and Wales
20,WILLOW,1900,England and Wales
21,PHOEBE,1883,England and Wales
22,ELSIE,1875,England and Wales
23,SIENNA,1834,England and Wales
24,ALICE,1827,England and Wales
25,JESSICA,1812,England and Wales
26,ROSIE,1808,England and Wales
27,HARPER,1796,England and Wales
28,DAISY,1769,England and Wales
29,SOFIA,1728,England and Wales
30,ISABELLE,1701,England and Wales
31,MATILDA,1618,England and Wales
32,RUBY,1531,England and Wales
33,EVA,1409,England and Wales
34,EMILIA,1398,England and Wales
35,SCARLETT,1393,England and Wales
36,CHLOE,1375,England and Wales
37,MAYA,1260,England and Wales
38,ESME,1234,England and Wales
39,ELIZA,1220,England and Wales
40,MILLIE,1196,England and Wales
41,IMOGEN,1179,England and Wales
42,ARIA,1178,England and Wales
43,LUNA,1162,England and Wales
44,LAYLA,1152,England and Wales
45,HARRIET,1128,England and Wales
46,MAISIE,1089,England and Wales
47,ELIZABETH,1076,England and Wales
48,PENELOPE,1068,England and Wales
49,MILA,1050,England and Wales
50,ERIN,1024,England and Wales
51,ELEANOR,985,England and Wales
52,LOLA,982,England and Wales
53,VIOLET,970,England and Wales
54,BELLA,969,England and Wales
55,ROSE,960,England and Wales
56,EMMA,957,England and Wales
56,HOLLY,957,England and Wales
58,MOLLY,929,England and Wales
59,THEA,920,England and Wales
60,ELLIE,919,England and Wales
61,LUCY,910,England and Wales
62,HANNAH,849,England and Wales
63,LOTTIE,824,England and Wales
64,NANCY,819,England and Wales
65,ADA,811,England and Wales
66,MARIA,799,England and Wales
67,LILLY,785,England and Wales
68,ZARA,765,England and Wales
69,AURORA,752,England and Wales
70,AMBER,751,England and Wales
71,GEORGIA,747,England and Wales
72,ROBYN,742,England and Wales
73,GRACIE,719,England and Wales
74,SUMMER,718,England and Wales
75,JASMINE,703,England and Wales
76,ANNABELLE,695,England and Wales
77,ABIGAIL,690,England and Wales
78,DARCIE,686,England and Wales
79,HALLIE,680,England and Wales
80,AMELIE,653,England and Wales
81,BONNIE,645,England and Wales
82,IRIS,634,England and Wales
82,MARYAM,634,England and Wales
84,BEATRICE,629,England and Wales
85,ANNA,628,England and Wales
86,HEIDI,621,England and Wales
86,ORLA,621,England and Wales
88,ARABELLA,619,England and Wales
89,CLARA,609,England and Wales
90,DELILAH,601,England and Wales
91,EDITH,599,England and Wales
92,AISHA,568,England and Wales
93,FRANCESCA,567,England and Wales
94,MARTHA,560,England and Wales
95,AYLA,556,England and Wales
96,ZOE,546,England and Wales
97,LYLA,539,England and Wales
98,SARA,535,England and Wales
99,MARGOT,534,England and Wales
100,FELICITY,522,England and Wales
101,VICTORIA,518,England and Wales
102,NEVAEH,514,England and Wales
103,SARAH,503,England and Wales
104,DARCY,501,England and Wales
105,SAVANNAH,493,England and Wales
106,MABEL,491,England and Wales
107,ELOISE,482,England and Wales
108,EDIE,480,England and Wales
108,ESMAE,480,England and Wales
110,LARA,474,England and Wales
111,JULIA,472,England and Wales
112,PIPPA,470,England and Wales
113,MYLA,467,England and Wales
114,LEXI,466,England and Wales
115,EDEN,465,England and Wales
116,DARCEY,464,England and Wales
117,ALEXANDRA,463,England and Wales
118,MADDISON,461,England and Wales
119,ARIANA,458,England and Wales
120,OLIVE,457,England and Wales
121,FATIMA,449,England and Wales
122,ANNIE,438,England and Wales
123,AMAYA,435,England and Wales
124,MOLLIE,423,England and Wales
125,AUTUMN,420,England and Wales
126,MEGAN,410,England and Wales
126,MYA,410,England and Wales
128,AALIYAH,406,England and Wales
128,NIAMH,406,England and Wales
130,LYDIA,398,England and Wales
131,MADISON,395,England and Wales
132,ELENA,393,England and Wales
132,FRANKIE,393,England and Wales
134,SKYE,391,England and Wales
135,FAITH,390,England and Wales
136,LEAH,389,England and Wales
137,GABRIELLA,385,England and Wales
138,ISABEL,381,England and Wales
139,HOPE,379,England and Wales
140,BETHANY,370,England and Wales
141,BROOKE,368,England and Wales
142,LYRA,362,England and Wales
143,ELODIE,360,England and Wales
143,ZAINAB,360,England and Wales
145,BETSY,357,England and Wales
145,ISOBEL,357,England and Wales
147,ANAYA,356,England and Wales
148,ARYA,352,England and Wales
149,MARNIE,348,England and Wales
150,SADIE,346,England and Wales
151,NINA,345,England and Wales
151,SKYLAR,345,England and Wales
153,BEATRIX,344,England and Wales
154,LENA,343,England and Wales
155,LACEY,340,England and Wales
156,ANASTASIA,339,England and Wales
156,ROSA,339,England and Wales
158,CORA,336,England and Wales
158,HANNA,336,England and Wales
158,HOLLIE,336,England and Wales
161,OPHELIA,335,England and Wales
162,ZAHRA,333,England and Wales
163,TILLY,330,England and Wales
164,NATALIA,327,England and Wales
164,OTTILIE,327,England and Wales
166,PIPER,323,England and Wales
167,KHADIJA,321,England and Wales
167,PAIGE,321,England and Wales
169,LAURA,318,England and Wales
170,INAAYA,317,England and Wales
171,MAGGIE,313,England and Wales
171,PAISLEY,313,England and Wales
173,ESTHER,312,England and Wales
174,CONNIE,311,England and Wales
175,GEORGIE,310,England and Wales
176,MAIA,309,England and Wales
177,LILIANA,304,England and Wales
178,NAOMI,299,England and Wales
179,HAZEL,293,England and Wales
180,NELLIE,291,England and Wales
181,SEREN,290,England and Wales
182,AOIFE,289,England and Wales
183,EVE,286,England and Wales
184,POLLY,284,England and Wales
185,AMARA,283,England and Wales
186,REBECCA,282,England and Wales
187,KATIE,281,England and Wales
187,RIVER,281,England and Wales
189,AMY,278,England and Wales
189,LILLIE,278,England and Wales
189,SKYLA,278,England and Wales
192,CLEO,277,England and Wales
192,MAJA,277,England and Wales
194,INDIA,275,England and Wales
195,ALICIA,270,England and Wales
196,ALBA,269,England and Wales
197,NORA,267,England and Wales
198,PENNY,260,England and Wales
199,AIZAH,259,England and Wales
199,AMIRA,259,England and Wales
201,ZOYA,258,England and Wales
201,ZUZANNA,258,England and Wales
203,ELIANA,256,England and Wales
204,ALAYNA,255,England and Wales
204,TABITHA,255,England and Wales
206,LUCIA,254,England and Wales
207,KEIRA,251,England and Wales
207,NOVA,251,England and Wales
209,KHADIJAH,247,England and Wales
210,SAFA,246,England and Wales
211,ALIZA,245,England and Wales
212,AURELIA,241,England and Wales
213,PRIMROSE,239,England and Wales
214,CALLIE,237,England and Wales
215,LOIS,236,England and Wales
216,ALANA,235,England and Wales
216,ELISE,235,England and Wales
216,HATTIE,235,England and Wales
219,APRIL,233,England and Wales
220,GEORGINA,232,England and Wales
221,LEILA,231,England and Wales
222,MELISSA,229,England and Wales
223,KIARA,228,England and Wales
224,ANTONIA,227,England and Wales
225,NICOLE,225,England and Wales
226,ANYA,224,England and Wales
227,ANNABEL,222,England and Wales
228,HALLE,221,England and Wales
229,ALYSSA,218,England and Wales
229,BELLE,218,England and Wales
229,INDIE,218,England and Wales
229,NEVE,218,England and Wales
233,WREN,216,England and Wales
234,HANIYA,215,England and Wales
235,HARLOW,214,England and Wales
236,EFFIE,213,England and Wales
237,ZOFIA,212,England and Wales
238,HARLEY,211,England and Wales
239,ATHENA,210,England and Wales
239,AYDA,210,England and Wales
239,VALENTINA,210,England and Wales
242,HANA,209,England and Wales
243,EMMIE,208,England and Wales
243,TALIA,208,England and Wales
245,MARIAM,207,England and Wales
246,DOROTHY,206,England and Wales
246,PEARL,206,England and Wales
248,LIBBY,205,England and Wales
249,LILAH,199,England and Wales
250,MADELEINE,197,England and Wales
251,AMINA,195,England and Wales
252,AYESHA,193,England and Wales
252,JOSEPHINE,193,England and Wales
254,AMELIA-ROSE,191,England and Wales
254,ARIELLA,191,England and Wales
