Name,Count
A,1
A-J,1
A-Jay,1
Aadam,3
Aadhi,1
Aadith,1
Aahid,1
Aahil,2
Aaqib,1
Aaran,6
Aarav,2
Aari,1
Aarib,1
Aarin,1
Aariz,1
Aarne,1
Aaron,157
Aaron-David,1
Aaron-Jnr,1
Aaron-Joseph,1
Aaronjit,1
Aarron,1
Aarsh,1
Aart,1
Aarush,1
Aary,1
Aaryan,1
Aaryn,3
Aasim,1
Aatheip,1
Aatif,1
Aayaan,1
Aayan,3
Aayden,2
Aayush,1
Abbas,1
Abdalla,1
Abdallah,3
Abdrahmen,1
Abdul,11
Abdul-Raheem,1
Abdul-Rahim,1
Abdul-Rehman,1
Abdulaziz,1
Abdulhadi,1
Abdullah,14
Abdullateef,1
Abdulmalik,1
Abdulrahman,4
Abdulsamad,1
Abdulwahab,1
Abdurahman,1
Abdurrahman,1
Abe,1
Abel,13
Abhaaj,1
Abhainn,1
Abhiram,1
Abijith,1
Abner,1
Abraham,1
Abrar,1
Abu,1
Abu-Bakr,2
Abubakar,1
Abubakr,1
Ace,5
Ackie,1
Adair,2
Adam,201
Adam-James,1
Adamas,2
Adar,1
Adebayo,1
Adeel,1
Adeem,1
Adelin,1
Adem,3
Ademar,1
Ademide,1
Aden,1
Aderemi,2
Adhain,1
Adharva,1
Adhvik,3
Adi,2
Adie,2
Adil,1
Adilet,1
Adley,1
Adnan,3
Adom,1
Adomas,2
Adrian,9
Adriano,1
Adriel,1
Adrien,1
Adrijus,1
Adson,1
Advik,1
Advith,1
Adwaith,1
Ady,1
Adyan,1
Aedan,3
Aekan,1
Aengus,1
Aeron,1
Aeryn,1
Afan,2
Affan,2
Afonso,1
Afrad,1
Aftaab,1
Afzaan,1
Agampreet,2
Agastya,1
Aggelos,1
Ahaan,3
Ahil,1
Ahmad,8
Ahmed,8
Ahsan,1
Ahyan,1
Aidan,94
Aiden,62
Aijay,1
Ailbe,2
Airryn,1
Aizan,1
Aj,4
Ajay,8
