Name,Count
Aaciya,1
Aadhya,2
Aadya,2
Aadyasri,1
Aafia,1
Aafiyah,1
Aahana,1
Aaicha,1
Aaila,3
Aaira,5
Aaizafatima,1
Aakanksha,1
Aalia,2
Aaliyah,23
Aaliyah-Jo,1
Aaliyah-Leigh,1
Aaliyah-Rose,1
Aalvy,1
Aalya,1
Aamaal,1
Aamaiiya,1
Aamiliah,1
Aamina,1
Aaminah,1
Aamirah,1
Aanab,1
Aanya,1
Aara,1
Aaradhya,1
Aarani,1
Aari,1
Aaria,4
Aariah,1
Aarika,1
Aariyah,2
Aarlayah,1
Aarna,1
Aarunya,2
Aarvi,1
Aarya,1
Aashvi,1
Aasiyah,2
Aayaat,1
Aayah,1
Aayat,4
Aayina,1
Aayla-May,1
Aazaria,1
Aazia,1
Abbey,7
Abbi,2
Abbie,41
Abbie-Blossom,1
Abby,11
Abeeha,2
Abi,6
Abi-Rose,1
Abida,1
Abigael,1
Abigail,83
Abigail-Maria,1
Abigale,1
Abiha,2
Abira,1
Abrar,1
Abrianna,1
Abrish,1
Abthal,1
Abygael,1
Acacia,1
Ada,59
Adah,1
Adaline,6
Adalyn,3
Adara,1
Adara-Zena,1
Addalyn,1
Addiline,1
Addisen,1
Addison,18
Addison-Grace,1
Addison-Rose,1
Addyson,1
Adel,1
Adela,1
Adelaide,2
Adelajda,1
Adele,4
Adelina,3
Adeline,4
Adella,1
Adellie,1
Adelyn,2
Aden,1
Adetorera,1
Adia,3
Adila,1
Adilee,1
Aditi,1
Adleta,1
Adley,3
Adora-Belle,1
Adria,1
Adriana,5
Adrianna,3
Adrianne,1
Adrielle,1
Adrienne,1
Adrija,2
Adunni,1
Aela,4
Aela-Grace,1
Aemilia,1
Aeris,1
Aeryn,3
Afeen,1
Afnan,2
Afrin,2
Afton,3
Agata,2
Agatha,1
Agatka,1
Agnes,6
Agnieszka,1
Ahdia,1
Ahdiya,1
Ahlee-Grace,1
Ahleia,1
Ahri,1
Aibhe,1
Aicha,1
Aida,7
Aighla,1
Aila,52
Aila-Noor,1
Ailah,1
Aileana,2
Ailee,1
Aileese,1
Aileigh,1
Ailey,5
Ailey-Rose,1
Ailidh,6
Ailidh-River,1
Ailie,10
Ailis,2
Ailise,1
Ailish,8
Ailith,4
Aillah,1
Aillie,1
Aillise,1
Ailsa,37
Aima,1
Aiman,4
Aimee,15
Aimee-Leigh,1
Aimi,1
Aine,4
Ainsley,2
Ainslie,1
Aira,1
Airah,1
Airanna,1
Airlie,2
Airyn,1
Aisha,11
Aishah,1
Aisla,1
Aisling,3
Aislinn,1
Aitana,1
Aivah,5
Aiya,2
Aiyana,1
Aiyla,7
Aiza,6
Aizah,6
Aji,1
Ajooni,1
Ajradah,1
Ajsa,1
Ajwa,1
Ajwah,1
Akeelah,2
Akemi,1
Akira,2
Akunna,1
Alaa,2
Alabama,1
Alaia,1
Alaina,7
Alainna,1
Alana,12
Alanah,1
Alanis,1
Alanna,6
Alannah,7
Alara,1
Alaria,1
Alaska,1
Alaya,3
Alayah,2
Alayla,1
Alayna,4
Alazne,1
Alba,45
Alba-Crystal,1
Alba-Rose,1
Alberta,1
Albylsan,1
Aleah,4
Alecia,2
Aleecia,1
Aleena,2
Aleenna,1
Aleesha,1
Aleeya,2
Aleeyah,1
Aleeza,4
Aleezay,1
Aleia,1
Aleigha,2
Aleira,1
Aleka,1
Aleksandra,10
Alena,2
Alesha,4
Alesia,2
Alessa,1
Alessandra,2
Alessia,5
Alex,24
Alexa,9
Alexandra,33
Alexandria,6
Alexena,1
Alexia,5
Alexia-Rose,1
Alexina,1
Alexis,26
Alexxa,1
Aleya,1
Alhanouf,1
Ali,2
Ali-Mae,1
Alia,9
Aliah,1
Aliana,2
Alianna,1
Alice,106
Alicia,13
Alicja,14
Aliki,1
Alima,1
Alina,5
Aliona,1
Alisa,4
Alise,3
Alisha,14
Alishba,2
Alishka,1
Alison,3
Alissa,3
Alissia,3
Alivia,11
