Participant,Experiment,Trial,Reaction,Free Response,Filename
17846,3601,26,7936,V:219,AWF_MKY08.mp3
17846,3601,19,4290,V:290,AWF_gm_F18.mp3
17846,3601,18,1581,V:160,AWF_gm_F17.mp3
17846,3601,2,2298,V:269,AWF_CFY08.mp3
17846,3601,23,2235,V:222,AWF_JJE21.mp3
17846,3601,11,1844,V:204,AWF_gm_F08.mp3
17846,3601,29,1671,V:186,AWF_SHA04.mp3
17846,3601,5,1336,V:345,AWF_DKY26.mp3
17846,3601,3,3979,V:151,AWF_CMN17.mp3
17846,3601,21,3001,V:275,AWF_gm_F23.mp3
17846,3601,25,2879,V:214,AWF_KDE26.mp3
17846,3601,14,2215,V:136,AWF_gm_F11.mp3
17846,3601,7,1404,V:77,AWF_gm_F03.mp3
17846,3601,28,1608,V:260,AWF_SGN09.mp3
17846,3601,24,2825,V:224,AWF_JRA04.mp3
17846,3601,10,1792,V:217,AWF_gm_F06.mp3
17846,3601,30,2873,V:361,AWF_TRE11.mp3
17846,3601,15,2173,V:215,AWF_gm_F14.mp3
17846,3601,20,2595,V:255,AWF_gm_F22.mp3
17846,3601,8,2190,V:180,AWF_gm_F04.mp3
17846,3601,13,3289,V:207,AWF_gm_F10.mp3
17846,3601,27,5986,V:233,AWF_NGE07.mp3
17846,3601,4,3716,V:257,AWF_DGA30.mp3
17846,3601,22,1956,V:103,AWF_gm_F24.mp3
17846,3601,17,2805,V:245,AWF_gm_F16.mp3
17846,3601,6,2640,V:232,AWF_gm_F02.mp3
17846,3601,9,5252,V:180,AWF_gm_F05.mp3
17846,3601,12,2835,V:266,AWF_gm_F09.mp3
17846,3601,16,2432,V:231,AWF_gm_F15.mp3
17846,3601,1,1894,V:167,AWF_ARD22.mp3
17846,3601,53,2489,V:182,AWF_JJE21.mp3
17846,3601,39,2809,V:182,AWF_gm_F05.mp3
17846,3601,58,2189,V:242,AWF_SGN09.mp3
17846,3601,38,2105,V:197,AWF_gm_F04.mp3
17846,3601,34,1815,V:255,AWF_DGA30.mp3
17846,3601,43,1811,V:278,AWF_gm_F10.mp3
17846,3601,59,2141,V:224,AWF_SHA04.mp3
17846,3601,48,2320,V:213,AWF_gm_F17.mp3
17846,3601,35,1530,V:292,AWF_DKY26.mp3
17846,3601,44,1472,V:133,AWF_gm_F11.mp3
17846,3601,56,1953,V:206,AWF_MKY08.mp3
17846,3601,51,3150,V:246,AWF_gm_F23.mp3
17846,3601,55,2017,V:168,AWF_KDE26.mp3
17846,3601,49,1560,V:139,AWF_gm_F18.mp3
17846,3601,50,1507,V:173,AWF_gm_F22.mp3
17846,3601,57,2795,V:170,AWF_NGE07.mp3
17846,3601,45,1930,V:255,AWF_gm_F14.mp3
17846,3601,42,1808,V:192,AWF_gm_F09.mp3
17846,3601,37,1319,V:122,AWF_gm_F03.mp3
17846,3601,40,2672,V:178,AWF_gm_F06.mp3
17846,3601,36,3748,V:221,AWF_gm_F02.mp3
17846,3601,47,2405,V:177,AWF_gm_F16.mp3
17846,3601,32,1613,V:144,AWF_CFY08.mp3
17846,3601,33,1769,V:240,AWF_CMN17.mp3
17846,3601,52,1359,V:77,AWF_gm_F24.mp3
17846,3601,60,1597,V:404,AWF_TRE11.mp3
17846,3601,54,3265,V:233,AWF_JRA04.mp3
17846,3601,46,2239,V:243,AWF_gm_F15.mp3
17846,3601,31,1243,V:149,AWF_ARD22.mp3
17846,3601,41,1689,V:176,AWF_gm_F08.mp3
17846,3601,30,5318,V:180,ASF_TRE11.mp3
17846,3601,15,1874,V:180,ASF_gm_F14.mp3
17846,3601,23,1436,V:291,ASF_JJE21.mp3
17846,3601,11,1559,V:237,ASF_gm_F08.mp3
17846,3601,2,1255,V:325,ASF_CFY08.mp3
17846,3601,24,2029,V:350,ASF_JRA04.mp3
17846,3601,14,1280,V:103,ASF_gm_F11.mp3
17846,3601,3,2801,V:181,ASF_CMN17.mp3
17846,3601,9,2601,V:277,ASF_gm_F05.mp3
17846,3601,26,1884,V:268,ASF_MKY08.mp3
17846,3601,7,1546,V:92,ASF_gm_F03.mp3
17846,3601,12,1688,V:157,ASF_gm_F09.mp3
17846,3601,1,1361,V:189,ASF_ARD22.mp3
17846,3601,17,1493,V:295,ASF_gm_F16.mp3
17846,3601,27,2166,V:352,ASF_NGE07.mp3
17846,3601,6,1635,V:325,ASF_gm_F02.mp3
17846,3601,18,1352,V:182,ASF_gm_F17.mp3
17846,3601,19,1253,V:305,ASF_gm_F18.mp3
17846,3601,28,1375,V:270,ASF_SGN09.mp3
17846,3601,25,1643,V:362,ASF_KDE26.mp3
17846,3601,5,1431,V:262,ASF_DKY26.mp3
17846,3601,10,4060,V:260,ASF_gm_F06.mp3
17846,3601,16,1962,V:351,ASF_gm_F15.mp3
17846,3601,4,1868,V:292,ASF_DGA30.mp3
17846,3601,29,1314,V:188,ASF_SHA04.mp3
17846,3601,21,3113,V:256,ASF_gm_F23.mp3
17846,3601,20,4313,V:213,ASF_gm_F22.mp3
17846,3601,13,12170,V:232,ASF_gm_F10.mp3
17846,3601,8,1709,V:178,ASF_gm_F04.mp3
17846,3601,22,1544,V:137,ASF_gm_F24.mp3
17846,3601,45,1923,V:203,ASF_gm_F14.mp3
17846,3601,35,1317,V:294,ASF_DKY26.mp3
17846,3601,53,1616,V:318,ASF_JJE21.mp3
17846,3601,55,1785,V:379,ASF_KDE26.mp3
17846,3601,42,3012,V:159,ASF_gm_F09.mp3
17846,3601,40,5622,V:296,ASF_gm_F06.mp3
17846,3601,39,1101,V:305,ASF_gm_F05.mp3
17846,3601,31,2014,V:229,ASF_ARD22.mp3
17846,3601,32,3253,V:251,ASF_CFY08.mp3
17846,3601,47,1754,V:356,ASF_gm_F16.mp3
17846,3601,37,5214,V:49,ASF_gm_F03.mp3
17846,3601,46,2341,V:127,ASF_gm_F15.mp3
