FeatureCode,DateCode,Measurement,Units,Value,Age,Sex,Migration Source,Migration Type
S92000003,2018,Count,People,1408,23 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,714,27 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,165,41 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,978,25 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,329,36 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,202,40 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,164,43 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,142,47 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,136,55 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,173,46 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,835,26 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,153,42 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,128,48 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,547,29 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,185,3 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,1183,24 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,610,28 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,599,19 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,140,17 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,300,18 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,151,44 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,506,30 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,142,45 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,387,32 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,366,33 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,430,31 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,117,63 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,17,69 years,Female,To-from Overseas,Out
S92000003,2007,Count,People,25,65 years,Female,To-from Overseas,Out
S92000003,2018,Count,People,111,65 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,103,61 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,21,66 years,Female,To-from Overseas,Out
S92000003,2018,Count,People,102,62 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,99,66 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,26,62 years,Female,To-from Overseas,Out
S92000003,2018,Count,People,92,68 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,138,49 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,108,64 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,23,64 years,Female,To-from Overseas,Out
S92000003,2018,Count,People,125,56 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,142,53 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,148,52 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,160,54 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,156,51 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,122,50 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,32,83 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,114,60 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,126,59 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,29,63 years,Female,To-from Overseas,Out
S92000003,2018,Count,People,133,58 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,132,57 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,17,68 years,Female,To-from Overseas,Out
S92000003,2010,Count,People,170,13 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,160,10 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,211,5 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,164,9 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,159,11 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,146,14 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,149,12 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,161,7 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,165,8 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,172,6 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,139,0 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,244,4 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,21759,All,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,1296,23 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,1214,24 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,545,20 years,Female,To-from Rest of UK,Out
