item,Word,VALENCE,AROUSAL,DOMINANCE,NLETTERS,NSYLLABLES,Log_Freq_HAL,Ortho_N,BG_byPOS,CONCRETENESS,Log_Freq_SUBTLEX,LEN_orthoN,LEXFREQ,VALDOM,BGFREQ,CONCRETE
1_HA,porn,4.32,7.24,3.82,4,1,8.79,2.25,7.88,4.26,6.38,-2.18,0.4,-0.97,0.4,1.01
2_LA,ford,5.79,2.85,6,4,1,9.72,2.35,7.81,4.19,6.38,-2.13,0.54,0.62,0.29,0.77
3_DI,bolt,3.9,4.55,4.64,4,1,8.89,2.44,7.62,4.67,5.86,-2.2,0.19,-0.68,0.1,1.31
4_HA,leopard,6.43,6.26,4.29,7,2,6.55,0.92,7.66,5,5.62,-0.5,-0.47,0.14,-0.38,1.94
5_LA,dryer,5.21,2.43,4.57,5,2,7.05,0.92,7.98,4.79,5.44,-0.97,-0.36,-0.2,0.05,1.61
6_DI,fireman,6.47,4.52,5,7,2,5.71,0.92,8.16,4.8,5,-0.93,-0.99,0.52,0.46,1.73
7_HA,score,6.5,6.35,7.32,5,1,10.05,2.25,7.76,3.38,7.35,-1.87,0.91,1.52,0.14,-0.16
8_LA,bunch,5.83,2.81,4.56,5,1,10.32,1.87,7.78,3.5,8.01,-1.51,1.45,-0.13,0.03,0.2
9_DI,crap,3.44,4.62,4.11,4,1,9.97,2.14,7.83,3.67,8.06,-1.95,1.41,-1.21,0.28,0.32
10_HA,terrify,2.84,6.39,2.79,7,3,4.72,-0.69,8.27,2.71,3.22,0.19,-1.47,-1.73,-0.23,-0.49
11_LA,pacify,5.67,2.55,5.32,6,3,5.17,-0.69,7.79,2.04,3,0.42,-1.7,0.56,-1.41,-1.45
12_DI,remarry,5.52,4.58,5.7,7,3,4.62,-0.69,8.33,2.72,3.78,0.2,-1.57,0.65,-0.24,-0.61
13_HA,tornado,3.63,7.45,2.87,7,3,7.42,-0.69,7.96,4.53,4.87,0.77,0.01,-1.57,-0.47,1.47
14_LA,broccoli,6,2.48,5.12,8,3,6.82,-0.69,8.18,4.87,4.75,0.74,-0.41,0.4,-0.05,1.8
15_DI,soprano,4.95,4.62,5.67,7,3,6.82,-0.69,8,4.11,4.91,0.65,-0.4,0.32,-0.53,0.83
16_HA,detonate,3.26,6.1,3.33,8,3,7.72,-0.69,8.68,3.19,4.66,0.39,0.11,-1.48,0.8,0.09
17_LA,parental,6.21,2.73,5.93,8,3,7.7,-0.69,8.83,2.69,4.65,0.33,-0.15,0.86,0.87,-0.55
18_DI,maverick,6.63,4.55,5.25,8,3,6.96,-0.69,8.75,2.96,4.9,0.38,-0.3,0.68,0.71,-0.17
19_HA,masturbation,5.89,6.3,5.92,12,4,7.57,-0.69,8.87,4.03,4.47,1.16,-0.01,0.76,1.64,1.06
20_LA,ventilation,6.44,2.7,5.4,11,4,6.94,-0.69,9.03,3.48,4.7,0.93,-0.16,0.7,1.7,0.54
21_DI,vaccination,4.56,4.62,5.2,11,4,7.75,-0.69,9,4.24,3.64,0.91,-0.15,-0.07,1.86,1.27
22_HA,battle,3.52,6.25,5.63,6,2,10.27,1.5,8.38,4,7.68,-1.26,1.55,-0.44,1.32,0.7
23_LA,winter,5.5,2.77,4.41,6,2,10.08,1.5,8.73,3.84,7.2,-1.39,1.36,-0.35,1.81,0.77
24_DI,pocket,5.67,4.5,6.37,6,2,9.28,1.87,8.12,4.68,7.51,-1.36,0.98,0.73,0.98,1.44
25_HA,lottery,6.33,6.05,3.45,7,3,8.64,0.41,8.64,4.19,5.84,-0.19,0.63,-0.44,1.22,1.3
26_LA,housing,5.85,2.73,6.12,7,2,9.08,0.41,8.74,4,5.33,-0.72,0.35,0.73,1.32,0.77
27_DI,observer,5,4.5,6.08,8,3,8.48,0.92,8.52,3.88,5.24,-0.54,0.23,0.46,1.39,0.67
28_HA,roar,5.37,6.15,5.88,4,1,7.32,1.87,7.46,3.81,5.32,-1.85,-0.65,0.55,-0.74,0.29
29_LA,damp,4.05,2.8,3.95,4,1,7.45,2.25,7.38,3.81,5,-2.07,-0.59,-0.87,-0.63,0.4
30_DI,yank,4.47,4.5,3.86,4,1,7.35,2.01,7.51,4.1,5.48,-1.94,-0.44,-0.79,-0.5,0.77
31_HA,evolution,5.35,6.3,4.77,9,4,9.7,-0.69,8.08,2.61,5.61,1.48,1.07,-0.05,-0.17,-0.61
32_LA,category,5.05,2.67,5.48,8,4,9.74,-0.69,8.39,2.82,5.33,1.14,0.96,0.17,0.33,-0.45
33_DI,violation,2.29,4.52,3.28,9,4,9.34,-0.69,8.42,2.67,5.95,1.18,1.28,-1.9,0.59,-0.47
34_HA,happy,8.47,6.05,7.21,5,2,11.17,1.5,7.36,2.56,9.74,-0.46,2.2,2.09,-1.01,-0.95
35_LA,quiet,6.47,1.95,5.8,5,2,9.48,0.92,7.16,2.76,8.7,-0.16,1.42,0.78,-1.63,-0.73
36_DI,busy,5.41,4.52,4.44,4,2,9.88,1.5,7.1,2.41,8.6,-0.63,1.57,-0.28,-1.53,-1.06
37_HA,threaten,2.6,6.05,3.29,8,2,8.33,-0.69,8.43,2.63,6.08,0.24,0.7,-1.77,0.24,-0.6
38_LA,pronounce,5.61,2.75,5.84,9,2,7.83,-0.69,8.47,2.63,5.8,0.34,0.2,0.59,0.25,-0.68
39_DI,clearance,6.62,4.5,5.5,9,2,8.49,-0.69,8.38,2.19,5.86,0.49,0.43,0.77,0.01,-1.1
40_HA,ejaculate,6,6.15,5.83,9,4,6.13,-0.69,8.32,4.31,3.18,0.98,-1.08,0.85,0.29,1.2
41_LA,insignia,5.57,2.83,5.44,8,4,7.05,-0.69,8.34,4.27,3.71,0.94,-0.56,0.44,0.28,1.14
42_DI,dormitory,5.06,4.5,4.87,9,4,5.63,-0.69,8.37,4.64,3.93,0.94,-0.91,0.01,0.46,1.64
43_HA,homicide,1.5,6.1,2.92,8,3,8.02,-0.69,8.18,3.82,6.66,0.77,0.95,-2.36,0.09,0.7
44_LA,elderly,4.63,2.73,4.91,7,3,8.21,-0.69,8.25,3.68,5.34,0.63,0.32,-0.24,-0.06,0.45
45_DI,deposit,6.25,4.5,6.37,7,3,8.38,-0.69,8.27,3.92,6.31,0.71,0.57,1.02,-0.04,0.66
46_HA,excite,7.79,6.61,5.79,6,2,6.67,0.41,7.99,1.97,4.69,-0.57,-0.87,1.43,-0.61,-1.45
47_LA,sadness,2.4,2.81,3.84,7,2,7.11,0.92,8.18,1.82,5.5,-1.03,-0.13,-1.49,0.36,-1.58
48_DI,unwise,3.84,4.52,4.95,6,2,6.61,0.41,7.84,1.69,3.87,-0.67,-1,-0.34,-0.74,-1.88
49_HA,dominate,4.4,6.4,5.54,8,3,8.06,0.41,8.63,2.12,4.55,-0.38,-0.07,0.04,1.1,-1.23
50_LA,clarify,6,2.85,6.04,7,3,8.66,0.41,8.22,2.07,4.74,-0.14,0.07,0.86,0.19,-1.35
51_DI,incentive,7.05,4.61,6.7,9,3,8.26,0.41,8.72,2.26,4.61,-0.21,-0.1,1.55,1.27,-1.03
52_HA,thief,2.32,6.05,3.14,5,1,8.36,0.41,7.41,4.37,7.12,-0.54,0.73,-1.98,-1.2,1.05
53_LA,cloud,6.2,2.81,4.79,5,1,8.75,0.92,7.36,4.54,6.4,-0.75,0.36,0.22,-1.18,1.23
54_DI,juice,6.9,4.6,5.74,5,1,8.94,0.41,7.11,4.89,7.22,-0.17,0.64,0.92,-1.87,1.52
55_HA,arouse,6.67,6.21,6.1,6,2,6.16,0.41,8.01,2.85,4.13,-0.68,-1.21,1.2,-0.43,-0.57
56_LA,groggy,4.05,2.9,3.64,6,2,5.18,0.41,7.84,2.81,3.83,-0.71,-1.44,-0.9,-0.67,-0.52
57_DI,bouncy,6.64,4.54,5.54,6,2,6.15,0.92,7.9,3.18,4.51,-0.93,-1.1,0.9,-0.32,-0.16
58_HA,gunpoint,2.11,6.91,2.85,8,2,5.79,-0.69,8.32,3.48,4.04,0.03,-0.86,-2.03,0.05,0.31
59_LA,whitewash,4.48,2.87,4.88,9,2,5.27,-0.69,8.11,3.7,3.5,0.25,-1.42,-0.13,-0.34,0.45
60_DI,backhand,3.5,4.61,4.9,8,2,6.05,-0.69,8.21,3.88,3.61,0.1,-1.1,-0.51,-0.15,0.58
61_HA,dramatic,5.17,6.59,4.77,8,3,8.69,-0.69,8.56,2.12,6.21,0.62,0.82,-0.14,0.41,-1.12
